"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"68","162-83009",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,715
"69","162-83010",2014,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.09,635
"70","162-83011",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,555
"71","162-83013",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695
"72","162-83014",2014,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,440
"73","162-83015",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,770
"74","162-83016",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.054,700
"75","162-83017",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007,785
"76","162-83018",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,460
"77","162-83019",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.179,750
"78","162-83021",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.002,420
"79","162-83022",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,470
"80","162-83023",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,630
"81","162-83024",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.004,450
"82","162-83025",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,605
"83","162-83026",2014,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,610
"84","162-83027",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.031,455
"85","162-83028",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,540
"86","162-83029",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011,640
"87","162-83030",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,705
"88","162-83031",2014,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,630
"89","162-83032",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.091,670
"90","162-83033",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,745
"91","162-83034",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,660
"92","162-83035",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.303,615
"93","162-83037",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,650
"94","162-83038",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.035,650
"95","162-83039",2014,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,655
"96","162-83040",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,640
"97","162-83041",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014,610
"98","162-83042",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.021,570
